step,loss,val_accuracy,val_macro_f1,val_weighted_f1,val_micro_f1,prompt_interaction_mean_0,prompt_interaction_mean_1,prompt_route_mean_0,prompt_route_mean_1,prompt_route_mean_2,prompt_route_mean_3,prompt_route_mean_4,prompt_route_mean_5,prompt_route_mean_6,prompt_route_mean_7,prompt_token_weight_0,prompt_token_weight_1,prompt_token_weight_2,prompt_token_weight_3,prompt_token_weight_4,prompt_token_weight_5,prompt_token_weight_6,prompt_token_weight_7
300.0,1.5038669109344482,0.5367165575304023,0.4601430562522424,0.5513731977301013,0.5367165575304023,0.4186984598636627,0.523018479347229,0.1185271367430687,0.1090501993894577,0.13600040972232819,0.12212273478507996,0.12145864218473434,0.13259094953536987,0.12181156873703003,0.1384383589029312,0.126602903008461,0.12457352131605148,0.12367579340934753,0.12660488486289978,0.12497907876968384,0.1249011680483818,0.1236594170331955,0.12500323355197906
600.0,1.2785950899124146,0.5947146866230122,0.5179328967934287,0.6021358640668102,0.5947146866230122,0.4706035554409027,0.5344231724739075,0.13868144154548645,0.11465156823396683,0.13650643825531006,0.11882108449935913,0.10958555340766907,0.1111719086766243,0.15843774378299713,0.11214428395032883,0.12672238051891327,0.12473319470882416,0.12392518669366837,0.12635290622711182,0.12500840425491333,0.12469558417797089,0.12349510192871094,0.12506726384162903
900.0,0.5703085064888,0.6145930776426567,0.5224946830673242,0.6063496822954513,0.6145930776426567,0.5194317102432251,0.5328706502914429,0.11994194239377975,0.12375235557556152,0.1302567422389984,0.12391982972621918,0.1252693086862564,0.12459290027618408,0.125298872590065,0.12696802616119385,0.12652534246444702,0.12478390336036682,0.12393064051866531,0.12613464891910553,0.12498056143522263,0.12467121332883835,0.12360735237598419,0.12536635994911194
1200.0,0.8070839047431946,0.5944808231992517,0.5187787032401092,0.5986333250104547,0.5944808231992517,0.46773475408554077,0.49396488070487976,0.1527525931596756,0.12366485595703125,0.12783725559711456,0.11123266071081161,0.1304788887500763,0.12992888689041138,0.11377894878387451,0.11032591760158539,0.12643109261989594,0.1252085566520691,0.12391279637813568,0.12532742321491241,0.12532062828540802,0.12472239881753922,0.12421224266290665,0.12486474961042404
1500.0,0.9190580248832703,0.6087464920486436,0.5366941695465512,0.6131818167389869,0.6087464920486436,0.4343259334564209,0.44244441390037537,0.13845400512218475,0.12968124449253082,0.12530164420604706,0.12168879061937332,0.123806431889534,0.12618175148963928,0.11901368200778961,0.11587245017290115,0.12600216269493103,0.12468058615922928,0.12531635165214539,0.12552130222320557,0.1250760853290558,0.1243554875254631,0.1243915781378746,0.12465652078390121
1800.0,0.5970051288604736,0.6085126286248831,0.5323569034280021,0.6238402355730667,0.6085126286248831,0.508289098739624,0.5042151808738708,0.12759989500045776,0.11078308522701263,0.1298174113035202,0.13597244024276733,0.11423108726739883,0.1297944337129593,0.1140359565615654,0.13776569068431854,0.12580452859401703,0.12485276907682419,0.1255766898393631,0.12538912892341614,0.1249992847442627,0.12415872514247894,0.12399042397737503,0.12522852420806885
2100.0,0.5845875144004822,0.6492048643592142,0.5725996098679569,0.6550289506757824,0.6492048643592142,0.41204947233200073,0.42203161120414734,0.13090524077415466,0.12809382379055023,0.11540136486291885,0.1281099170446396,0.12296146154403687,0.12705622613430023,0.11741966009140015,0.13005229830741882,0.12561145424842834,0.12540662288665771,0.12477383762598038,0.12564617395401,0.12413801997900009,0.1242370679974556,0.12364190816879272,0.12654483318328857
2400.0,0.853594958782196,0.6197380729653882,0.5540505067721463,0.628233713742933,0.6197380729653882,0.7168048620223999,0.692891001701355,0.1180151179432869,0.1195206493139267,0.12696173787117004,0.1287931203842163,0.1258707046508789,0.11841269582509995,0.11926255375146866,0.14316342771053314,0.1257631778717041,0.12466521561145782,0.12435539811849594,0.12562504410743713,0.1241302490234375,0.12446203827857971,0.12430014461278915,0.12669871747493744
2700.0,0.7487212419509888,0.6592609915809168,0.5927532461045728,0.663859673799401,0.6592609915809168,0.44806966185569763,0.45817258954048157,0.1353590488433838,0.11671043187379837,0.11310413479804993,0.1315165013074875,0.12291973829269409,0.13260714709758759,0.11346752941608429,0.13431547582149506,0.12548479437828064,0.12382785975933075,0.12434236705303192,0.1265038549900055,0.12420836836099625,0.12509247660636902,0.12428569048643112,0.12625457346439362
3000.0,0.8617286086082458,0.632600561272217,0.5563129785433358,0.6352834528765805,0.632600561272217,0.5316247344017029,0.5382355451583862,0.1346275955438614,0.11344346404075623,0.12712042033672333,0.13295525312423706,0.1334105134010315,0.13201159238815308,0.1126348078250885,0.11379636824131012,0.12525507807731628,0.12367730587720871,0.12477470934391022,0.12548691034317017,0.12464941293001175,0.12467227131128311,0.12479741126298904,0.1266869306564331
